NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL
ЭК,11/2015,UA,84,,17468.33,4235,0
ЭК,11/2015,PL,84,,74591.97,33128.1,0
ИМ,11/2015,TR,84,,75004.7,28437,0
ИМ,12/2015,DE,39,,25231.6,6979.18,0
ИМ,11/2015,BY,39,,6.01,1,0
ИМ,10/2015,BY,33,,21499.2,2008.2,0
ИМ,12/2015,SE,59,,31053.38,497.5,0
ЭК,11/2015,UA,19,,3261.61,1755,0
ЭК,11/2015,GE,48,,21272.75,17880,0
ЭК,12/2015,AB,21,,1760.82,1224,0
ЭК,11/2015,AM,22,,22333.57,43835.16,0
ИМ,10/2015,IN,29,,3948.6,2070,0
